table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,久保（粟井）,,,久保（粟井）
stops,stop_name,en,Kubo (Awai),,,久保（粟井）
stops,stop_name,ja-Hrkt,くぼ,,,久保（粟井）
stops,stop_name,ja,久尾口,,,久尾口
stops,stop_name,en,Kuoguchi,,,久尾口
stops,stop_name,ja-Hrkt,くおぐち,,,久尾口
stops,stop_name,ja,久枝小学校前,,,久枝小学校前
stops,stop_name,en,Hisaeda Elementary School,,,久枝小学校前
stops,stop_name,ja-Hrkt,ひさえだしょうがっこうまえ,,,久枝小学校前
stops,stop_name,ja,久米,,,久米
stops,stop_name,en,Kume,,,久米
stops,stop_name,ja-Hrkt,くめ,,,久米
stops,stop_name,ja,久米公務員宿舎前,,,久米公務員宿舎前
stops,stop_name,en,Kume Komuin Shukusha,,,久米公務員宿舎前
stops,stop_name,ja-Hrkt,くめこうむいんしゅくしゃまえ,,,久米公務員宿舎前
stops,stop_name,ja,久米学校前,,,久米学校前
stops,stop_name,en,Kume Gakko,,,久米学校前
stops,stop_name,ja-Hrkt,くめがっこうまえ,,,久米学校前
stops,stop_name,ja,久米支所前,,,久米支所前
stops,stop_name,en,Kume Shisho,,,久米支所前
stops,stop_name,ja-Hrkt,くめししょまえ,,,久米支所前
stops,stop_name,ja,久米窪田中央,,,久米窪田中央
stops,stop_name,en,Kume-Kubota Chuo,,,久米窪田中央
stops,stop_name,ja-Hrkt,くめくぼたちゅうおう,,,久米窪田中央
stops,stop_name,ja,久米駅前,,,久米駅前
stops,stop_name,en,Kume Sta.,,,久米駅前
stops,stop_name,ja-Hrkt,くめえきまえ,,,久米駅前
stops,stop_name,ja,久米駅東口,,,久米駅東口
stops,stop_name,en,Kume Station-Higashiguchi,,,久米駅東口
stops,stop_name,ja-Hrkt,くめえきひがしぐち,,,久米駅東口
stops,stop_name,ja,乙井橋,,,乙井橋
stops,stop_name,en,Otoibashi,,,乙井橋
stops,stop_name,ja-Hrkt,おといばし,,,乙井橋
stops,stop_name,ja,二の瀬,,,二の瀬
stops,stop_name,en,Ninose,,,二の瀬
stops,stop_name,ja-Hrkt,にのせ,,,二の瀬
stops,stop_name,ja,二子松,,,二子松
stops,stop_name,en,Nikomatsu,,,二子松
stops,stop_name,ja-Hrkt,にこまつ,,,二子松
stops,stop_name,ja,五本松（上林）,,,五本松（上林）
stops,stop_name,en,Gohonmatsu (Kanbayashi),,,五本松（上林）
stops,stop_name,ja-Hrkt,ごほんまつ,,,五本松（上林）
stops,stop_name,ja,井内,,,井内
stops,stop_name,en,Iuchi,,,井内
stops,stop_name,ja-Hrkt,いうち,,,井内
stops,stop_name,ja,井内北間,,,井内北間
stops,stop_name,en,Iuchi-Kitahaza,,,井内北間
stops,stop_name,ja-Hrkt,いうちきたはざ,,,井内北間
stops,stop_name,ja,井口,,,井口
stops,stop_name,en,Iguchi,,,井口
stops,stop_name,ja-Hrkt,いぐち,,,井口
stops,stop_name,ja,井手の上,,,井手の上
stops,stop_name,en,Idenoue,,,井手の上
stops,stop_name,ja-Hrkt,いでのうえ,,,井手の上
stops,stop_name,ja,京都駅八条口,,,京都駅八条口
stops,stop_name,en,Kyoto Station Hachijoguti,,,京都駅八条口
stops,stop_name,ja-Hrkt,きょうとえきはちじょうぐち,,,京都駅八条口
stops,stop_name,ja,今出南,,,今出南
stops,stop_name,en,Imazu-Minami,,,今出南
stops,stop_name,ja-Hrkt,いまずみなみ,,,今出南
stops,stop_name,ja,今出港,,,今出港
stops,stop_name,en,Imazu Port,,,今出港
stops,stop_name,ja-Hrkt,いまずこう,,,今出港
stops,stop_name,ja,今出港口,,,今出港口
stops,stop_name,en,Imazukoguchi,,,今出港口
stops,stop_name,ja-Hrkt,いまずこうぐち,,,今出港口
stops,stop_name,ja,今治桟橋,,,今治桟橋
stops,stop_name,en,Imabari Sanbashi,,,今治桟橋
stops,stop_name,ja-Hrkt,いまばりさんばし,,,今治桟橋
stops,stop_name,ja,今治駅前,,,今治駅前
stops,stop_name,en,Imabari Sta.,,,今治駅前
stops,stop_name,ja-Hrkt,いまばりえきまえ,,,今治駅前
stops,stop_name,ja,付属中学前,,,付属中学前
stops,stop_name,en,Fuzoku Chugaku,,,付属中学前
stops,stop_name,ja-Hrkt,ふぞくちゅうがくまえ,,,付属中学前
stops,stop_name,ja,仙幸寺,,,仙幸寺
stops,stop_name,en,Senko-ji,,,仙幸寺
stops,stop_name,ja-Hrkt,せんこうじ,,,仙幸寺
stops,stop_name,ja,仲村,,,仲村
stops,stop_name,en,Nakamura,,,仲村
stops,stop_name,ja-Hrkt,なかむら,,,仲村
stops,stop_name,ja,伊之曽口,,,伊之曽口
stops,stop_name,en,Isonoguchi,,,伊之曽口
stops,stop_name,ja-Hrkt,いのそぐち,,,伊之曽口
stops,stop_name,ja,伊予スイミング前,,,伊予スイミング前
stops,stop_name,en,Iyo Swimming,,,伊予スイミング前
stops,stop_name,ja-Hrkt,いよすいみんぐまえ,,,伊予スイミング前
stops,stop_name,ja,伊台,,,伊台
stops,stop_name,en,Idai,,,伊台
stops,stop_name,ja-Hrkt,いだい,,,伊台
